Epoch,Accuracy,Loss
1,54.05,1.2619
2,67.06,1.0413
3,69.55,0.9905
4,70.67,0.9643
5,72.96000000000001,0.9327
6,73.81,0.9059
7,74.89,0.8899
8,76.0,0.8763
9,76.63,0.8618
10,77.74,0.8475
11,78.57,0.8252
12,79.13,0.8158
13,80.34,0.7959
14,81.62,0.7783
15,82.26,0.7629
16,83.14,0.7532
17,84.06,0.7364
18,85.0,0.7204
19,85.25,0.7168
20,85.98,0.6999
21,86.04,0.6926
22,88.05,0.6643
23,88.77000000000001,0.6541
24,88.73,0.6536
25,89.91,0.6394
26,90.61,0.6214
27,90.93,0.6137
28,91.63,0.6051
29,91.64,0.6
30,91.46,0.6033
31,92.52,0.5842
32,92.80000000000001,0.5786
33,92.65,0.5828
34,92.85,0.5808
35,93.7,0.5669
36,94.05,0.5594
37,94.35,0.5517
38,94.65,0.5462
39,94.78999999999999,0.5434
40,95.1,0.5346
41,95.22,0.5328
42,95.22,0.5338
43,95.19999999999999,0.5293
44,95.47,0.528
45,95.30999999999999,0.5315
46,95.17999999999999,0.5305
47,95.85000000000001,0.5221
48,96.28,0.5148
49,96.04,0.5164
50,96.41,0.5114
51,96.37,0.511
52,96.17,0.5105
53,96.17999999999999,0.513
54,96.25,0.5097
55,96.99,0.496
56,97.05,0.4967
57,97.15,0.4929
58,96.78999999999999,0.5022
59,96.87,0.4965
60,97.07000000000001,0.4941
61,96.89,0.4968
62,96.76,0.5012
63,96.89,0.4972
64,96.48,0.5026
65,97.41,0.4873
66,97.28999999999999,0.4887
67,97.5,0.4858
68,97.00999999999999,0.491
69,97.56,0.4843
70,96.89,0.495
71,97.16,0.4928
72,97.49,0.4848
73,97.46000000000001,0.4832
74,97.27,0.4874
75,97.39999999999999,0.4879
76,97.71,0.4791
77,97.28,0.4866
78,97.78999999999999,0.4791
79,97.92999999999999,0.4768
80,97.71,0.4766
81,97.87,0.4756
82,97.8,0.478
83,98.05,0.4752
84,97.61999999999999,0.4798
85,97.97,0.475
86,97.75,0.4801
87,97.74000000000001,0.4769
88,97.77,0.4742
89,97.06,0.4885
90,97.81,0.4757
91,98.06,0.4722
92,97.54,0.4787
93,97.94,0.4754
94,97.85000000000001,0.4749
95,97.87,0.4727
96,98.08,0.4712
97,98.2,0.4679
98,98.42,0.4665
99,97.63,0.4787
100,97.91,0.4736
